citation_key,title,year,reviewer1_decision,reviewer1_criterion,reviewer2_decision,reviewer2_criterion,notes
Nagasubramanian2026,Agentic Workflows and AI Agents,2026,exclude,missing I1,,,
Akbar2025,Agentic AI in Software Engineering: Practitioner Perspectives Across the Software Development Life Cycle,2025,include,I1,,,
Alsegier2026,From Feature Variability to Agency Variability: A Software Product-Line Engineering Framework for Governed Agentic AI Systems,2026,include,I1,,,
BESLEAGA2026,GABBE: A Neurocognitive Swarm Architecture for Agentic AI Software Engineering,2026,include,I1,,,
Haque2026,"The New Software Cost Curve under Agentic AI: Development Economics, Pricing, and Labor Impacts",2026,exclude,missing I1,,,
Watfa2026,Risk-Aware Requirements Engineering for Generative AI-Enabled Software Systems: A Framework and Empirical Validation,2026,include,I1,,,
Merchant2025,Verifiable Collaboration among Agentic Code Assistants using Blockchain for Software Engineering Workflows,2025,exclude,missing I1,,,
Paduraru2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,exclude,missing I1,,,
Khaja2026,"Securing Agentic AI in Software-Defined Networks: A Policy-Driven Framework for Governance, Monitoring, and Incident Response",2026,exclude,missing I1,,,
Gupta2022,AI-Augmented Usability Evaluation Framework for Software Requirements Specification,2022,include,I1,,,
Hammel2023,Assuring Domain Software Quality through Workflow Testing and Specification,2023,exclude,missing I1,,,
Parsons2025,AI Literacy Development for Software Engineering Education: Mapping AI from the SWEBOK to the SAIL Framework,2025,include,I1,,,
AsifAli2025,Efficient Underwriting Using Agentic AI,2025,exclude,missing I1,,,
Ulfsnes2024,Transforming Software Development with Generative AI: Empirical Insights on Collaboration and Workflow,2024,include,I1,,,
Chauhan2025,9 Integrating Generative AI into Your Development Workflow,2025,exclude,missing I1,,,
Rusum2025,Agentic AI: Building Self-Directed Software Agents with Multimodal Reasoning,2025,exclude,missing I1,,,
Anon2026,DevFlow: An Agentic AI Architecture Planning Platform for Software Engineering Workflows,2026,include,I1,,,
Chechik2026,Agentic AI in the next frontier of model-based software engineering: the arrival of AI-hyper-agile software engineering methods,2026,include,I1,,,
Paiva2026,Agentic RTE: A Framework for Synchronizing Multimodal Software Artifacts,2026,exclude,missing I1,,,
Dam2025,Towards Multi-Agentic AI for automated software design and modelling: challenges and opportunities,2025,exclude,missing I1,,,
Huang2025,AI Agents and Business Workflow,2025,exclude,missing I1,,,
Khan2026,AI-Powered Toolchain Framework for Agile Software Development in Startups,2026,include,I1,,,
KumarAle2024,"A Generative AI Framework for Enhancing Software Test Automation: Design, Implementation, and Validation",2024,exclude,missing I1,,,
Georgievski2023,Software Development Life Cycle for Engineering AI Planning Systems,2023,include,I1,,,
Fu2025,Agentic Specification Generator for Move Programs,2025,exclude,E3,,,
Huang2025,MALPRE: Malware Protocol Reverse Engineering through Code Slicing and Agentic Workflow,2025,exclude,E3,,,
Baron2025,Towards an Adoption Framework to Foster Trust in AI-Assisted Software Engineering,2025,include,I1,,,
Shafiq2026,AI-Driven Agentic Framework for Insider Threats Prevention and Detection in Secure Software Development Organizations: A Fuzzy AHP Approach,2026,exclude,missing I1,,,
Esposito2026,"Agents Don't Just Think, They Communicate: Communication and Coordination Protocols for Agentic AI",2026,exclude,missing I1,,,
DoyleSpare2026,Agentic Workflow Drift and Agentic Workflow Subversion: A New Risk Taxonomy for the Governance of Agentic AI in Financial Services,2026,exclude,missing I1,,,
Chelliah2026,Demystifying the agentic AI paradigm for accelerated software engineering,2026,exclude,missing I2/I3/I4,,,
Vorel2025,The Future of Software Development,2025,exclude,E4,,,
Gadamsetty2025,Generative AI for Software Engineering: Generative AI Effectiveness and Efficiency in Software Development Documentation,2025,include,I1,,,
PeterKairouz2020,Advances and Open Problems in Federated Learning,2020,exclude,missing I1,,,
MichelePolese2023,"Understanding O-RAN: Architecture, Interfaces, Algorithms, Security, and Research Challenges",2023,exclude,missing I1,,,
RezaToorajipour2020,Artificial intelligence in supply chain management: A systematic literature review,2020,exclude,missing I1,,,
BarbaraRitaBarricelli2019,"A Survey on Digital Twin: Definitions, Characteristics, Applications, and Design Implications",2019,exclude,missing I1,,,
SangminPark2022,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,exclude,missing I1,,,
SalvatoreCuomo2022,Scientific Machine Learning Through Physics-Informed Neural Networks: Where we are and What's Next,2022,exclude,missing I1,,,
InioluwaDeborahRaji2020,Closing the AI accountability gap,2020,exclude,missing I1,,,
SravanthiParasa2023,Framework and metrics for the clinical use and implementation of artificial intelligence algorithms into endoscopy practice: recommendations from the American Society for Gastrointestinal Endoscopy Artificial Intelligence Task Force,2023,exclude,missing I1,,,
XiaoxuanLiu2020,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,2020,exclude,missing I1,,,
SebastienBubeck2023,Sparks of Artificial General Intelligence: Early experiments with GPT-4,2023,exclude,missing I1,,,
KonstantinosIRoumeliotis2023,ChatGPT and Open-AI Models: A Preliminary Review,2023,exclude,missing I1,,,
KamalChoudhary2022,Recent advances and applications of deep learning methods in materials science,2022,exclude,missing I1,,,
LauriHimanen2019,"Data-Driven Materials Science: Status, Challenges, and Perspectives",2019,exclude,missing I1,,,
RafaelSacks2020,Construction with digital twin information systems,2020,exclude,missing I1,,,
EduardoMosqueiraRey2022,Human-in-the-loop machine learning: a state of the art,2022,exclude,missing I1,,,
SamanthaCruzRivera2020,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,exclude,missing I1,,,
PawanBudhwar2023,Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT,2023,exclude,missing I1,,,
SamanRazavi2020,The Future of Sensitivity Analysis: An essential discipline for systems modeling and policy support,2020,exclude,missing I1,,,
LihuiWang2019,Symbiotic human-robot collaborative assembly,2019,exclude,missing I1,,,
AnnaMarkellaAntoniadi2021,Current Challenges and Future Opportunities for XAI in Machine Learning-Based Clinical Decision Support Systems: A Systematic Review,2021,include,I1,,,
TynaEloundou2023,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,2023,exclude,missing I1,,,
ChamithadeAlwis2021,"Survey on 6G Frontiers: Trends, Applications, Requirements, Technologies and Future Research",2021,exclude,missing I1,,,
TongshuangWu2022,AI Chains: Transparent and Controllable Human-AI Interaction by Chaining Large Language Model Prompts,2022,exclude,missing I1,,,
LongfeiZhou2024,Additive Manufacturing: A Comprehensive Review,2024,exclude,missing I1,,,
MassimoMerenda2020,Edge Machine Learning for AI-Enabled IoT Devices: A Review,2020,include,I1,,,
SomayyaMadakam2019,The Future Digital Work Force: Robotic Process Automation (RPA),2019,exclude,missing I1,,,
MariiaGolovianko2023,"Industry 4.0 vs. Industry 5.0: Co-existence, Transition, or a Hybrid",2023,exclude,missing I1,,,
RabiaKhan2019,"A Survey on Security and Privacy of 5G Technologies: Potential Solutions, Recent Advancements, and Future Directions",2019,exclude,missing I1,,,
MattLuckcuck2019,Formal Specification and Verification of Autonomous Robotic Systems,2019,exclude,missing I1,,,
ShaohuaWan2019,Cognitive computing and wireless communications on the edge for healthcare service robots,2019,exclude,missing I1,,,
MuhammedSit2020,A comprehensive review of deep learning applications in hydrology and water resources,2020,exclude,missing I1,,,
TharakaHewa2020,"Survey on blockchain based smart contracts: Applications, opportunities and challenges",2020,exclude,missing I1,,,
DeepakBabuPiskala2026,Spec-Driven Development:From Code to Contract in the Age of AI Coding Assistants,2026,include,I1,,,
