citation_key,title,year,reviewer1_decision,reviewer1_criterion,reviewer2_decision,reviewer2_criterion,notes
Akbar2025,Agentic AI in Software Engineering: Practitioner Perspectives Across the Software Development Life Cycle,2025,include,I1,,,
Alsegier2026,From Feature Variability to Agency Variability: A Software Product-Line Engineering Framework for Governed Agentic AI Systems,2026,include,I1,,,
BESLEAGA2026,GABBE: A Neurocognitive Swarm Architecture for Agentic AI Software Engineering,2026,include,I1,,,
Watfa2026,Risk-Aware Requirements Engineering for Generative AI-Enabled Software Systems: A Framework and Empirical Validation,2026,include,I1,,,
Merchant2025,Verifiable Collaboration among Agentic Code Assistants using Blockchain for Software Engineering Workflows,2025,include,I1,,,
Paduraru2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,include,I1,,,
Gupta2022,AI-Augmented Usability Evaluation Framework for Software Requirements Specification,2022,include,I1,,,
Ulfsnes2024,Transforming Software Development with Generative AI: Empirical Insights on Collaboration and Workflow,2024,include,I1,,,
Anon2026,DevFlow: An Agentic AI Architecture Planning Platform for Software Engineering Workflows,2026,include,I1,,,
Chechik2026,Agentic AI in the next frontier of model-based software engineering: the arrival of AI-hyper-agile software engineering methods,2026,include,I1,,,
Paiva2026,Agentic RTE: A Framework for Synchronizing Multimodal Software Artifacts,2026,include,I1,,,
Dam2025,Towards Multi-Agentic AI for automated software design and modelling: challenges and opportunities,2025,include,I1,,,
Khan2026,AI-Powered Toolchain Framework for Agile Software Development in Startups,2026,include,I1,,,
KumarAle2024,"A Generative AI Framework for Enhancing Software Test Automation: Design, Implementation, and Validation",2024,include,I1,,,
Baron2025,Towards an Adoption Framework to Foster Trust in AI-Assisted Software Engineering,2025,include,I1,,,
Gadamsetty2025,Generative AI for Software Engineering: Generative AI Effectiveness and Efficiency in Software Development Documentation,2025,include,I1,,,
DeepakBabuPiskala2026,Spec-Driven Development:From Code to Contract in the Age of AI Coding Assistants,2026,include,I1,,,
RanjanSapkota2025,Vibe Coding vs. Agentic Coding: Fundamentals and Practical Implications of Agentic AI,2025,include,I1,,,
AhmedEHassan2024,Towards AI-Native Software Engineering (SE 3.0): A Vision and a Challenge Roadmap,2024,include,I1,,,
NitishRatanAppanasamy2025,"The Evolution of Software Engineering in the Age of AI Collaboration: Opportunities, Challenges, and Future Implications",2025,exclude,missing I1,,,
MicheleTufano2024,AutoDev: Automated AI-Driven Development,2024,include,I1,,,
SeyedmoeinMohsenimofidi2025,Context Engineering for AI Agents in Open-Source Software,2025,include,I1,,,
SKaruppuchamy2026,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,2026,include,I1,,,
AkhilaHarinarayana2026,Agentic AI Revolutionizing Software Engineering,2026,exclude,E7,,,
XiangzheXu2025,ASTRA: Autonomous Spatial-Temporal Red-teaming for AI Software Assistants,2025,include,I1,,,
AshifAnwar2025,Software Engineering Practices: In the era of AI / LLMs,2025,exclude,missing I1,,,
LiyiCai2025,AI-Driven Self-Evolving Software: A Promising Path Toward Software Automation,2025,include,I1,,,
Macedo2026,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,2026,include,I1,,,
JulesWhite2023,"ChatGPT Prompt Patterns for Improving Code Quality, Refactoring, Requirements Elicitation, and Software Design",2023,include,I1,,,
ChristophTreude2025,How Developers Interact with AI: A Taxonomy of Human-AI Collaboration in Software Engineering,2025,exclude,missing I2/I3/I4,,,
JundaHe2025,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",2025,include,I1,,,
JSauvola2024,Future of software development with generative AI,2024,include,I1,,,
AyyappaSajja2024,Integrating Generative AI into the Software Development Lifecycle: Impacts on Code Quality and Maintenance,2024,exclude,missing I1,,,
MitulModi2024,Transforming Software Development Through Generative AI : A Systematic Analysis of Automated Development Practices,2024,include,I1,,,
ShreyasPangavhane2024,AI-Augmented Software Development: Boosting Efficiency and Quality,2024,exclude,E2,,,
KRRaghi2024,Software Development Automation Using Generative AI,2024,include,I1,,,
DanielRusso2024,Navigating the Complexity of Generative AI Adoption in Software Engineering,2024,include,I1,,,
YuntongZhang2024,AutoCodeRover: Autonomous Program Improvement,2024,include,I1,,,
ZeeshanRasheed2024,Codepori: Large-Scale System for Autonomous Software Development Using Multi-Agent Technology,2024,include,I1,,,
HuanZhang2024,A Pair Programming Framework for Code Generation via Multi-Plan Exploration and Feedback-Driven Refinement,2024,exclude,E3,,,
SaiZhang2025,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,2025,include,I1,,,
pekzkaya2023,The Next Frontier in Software Development: AI-Augmented Software Development Processes,2023,exclude,E7,,,
ChenQian2023,ChatDev: Communicative Agents for Software Development,2023,include,I1,,,
SiruiHong2023,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,2023,include,I1,,,
YuCheng2023,Prompt Sapper: A LLM-Empowered Production Tool for Building AI Chains,2023,include,I1,,,
