citation_key,achado,fonte
Gupta2022,"AI-Augmented Usability Evaluation Framework for Software Requirements Specification (Framework); papeis: agentes, personas, desenvolvedor, arquiteto, testador, usuario; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
ChenQian2023,"Texto completo apresenta ChatDev como framework de desenvolvimento de software com agentes especializados, chat chain, design, coding, testing, comunicacao multi-turn e mecanismo de communicative dehallucination.",justificativa
JulesWhite2023,"Texto completo apresenta metodo reutilizavel de prompt patterns para varias atividades de engenharia de software, incluindo requisitos, design, prototipacao, qualidade de codigo, deployment e testes.",justificativa
SiruiHong2023,"Texto completo apresenta MetaGPT como framework multiagente que codifica SOPs, papeis e workflows de engenharia de software, produzindo PRDs, artefatos de design, especificacoes de interface e validacao por testes.",justificativa
YuCheng2023,"Texto completo apresenta Prompt Sapper como metodologia e IDE para AI chain engineering, com requisitos, composicao de workers, papeis, prompts, design, implementacao, testing e gerenciamento de artefatos.",justificativa
AhmedEHassan2024,"AI-Native Software Engineering (Framework); papeis: agentes, personas, desenvolvedor, arquiteto, usuario; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, modelos, prompts [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
DanielRusso2024,"Texto completo propoe e valida o Human-AI Collaboration and Adaptation Framework para adocao de IA generativa em engenharia de software, incluindo fatores de workflow e estrategias organizacionais.",justificativa
JSauvola2024,"Texto completo propoe quatro cenarios para operacoes de desenvolvimento com IA generativa, modelando papeis, ferramentas, processos, transicoes e riscos operacionais.",justificativa
KRRaghi2024,"Texto completo apresenta abordagem multi-etapa para automacao do SDLC com LLMs e LangChain, cobrindo planejamento, requisitos, codigo, testes e deployment.",justificativa
KumarAle2024,"Framework (Framework); papeis: desenvolvedor, testador, usuario, revisor; execucao: IDE, pipeline, edicao de codigo, testes, browser; validacao: testes automatizados, revisao humana, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
MicheleTufano2024,"AutoDev (Framework); papeis: agentes, personas, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, modelos, prompts [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
MitulModi2024,"Texto completo apresenta analise sistematica e framework de adocao de GenAI em workflows de desenvolvimento, cobrindo geracao de codigo, testes, code review e analise preditiva.",justificativa
Ulfsnes2024,"Transforming Software Development with Generative AI (Framework); papeis: personas, desenvolvedor, arquiteto, testador, usuario, revisor; execucao: IDE, CLI, repositorio, pipeline, testes, browser; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
YuntongZhang2024,"Texto completo apresenta AutoCodeRover como framework de program improvement com agentes de recuperacao de contexto e geracao de patch, busca estrutural no codigo, uso opcional de testes e validacao de patches.",justificativa
ZeeshanRasheed2024,"Texto completo apresenta CodePori como sistema multiagente para desenvolvimento autonomo de software em larga escala, com agentes de gerencia, arquitetura, estrutura, desenvolvimento, verificacao e finalizacao.",justificativa
Akbar2025,"Agentic AI in Software Engineering (Framework); papeis: agentes, personas, desenvolvedor, product manager, arquiteto, testador; execucao: IDE, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Baron2025,"Towards (Framework); papeis: desenvolvedor, usuario, revisor; execucao: IDE, pipeline, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Dam2025,"Towards (Framework); papeis: agentes, desenvolvedor, arquiteto, usuario; execucao: IDE, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Gadamsetty2025,"Generative AI for Software Engineering (Framework); papeis: desenvolvedor, product manager, arquiteto, usuario, revisor; execucao: IDE, CLI, pipeline, edicao de codigo, testes, browser; validacao: testes automatizados, revisao humana, checklists, traces ou auditoria; artefatos: specs, PRDs, tarefas, codigo, testes, logs [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
JundaHe2025,"Texto completo revisa sistemas multiagente baseados em LLM para engenharia de software, organiza aplicacoes por etapas do SDLC, discute frameworks LMA e inclui estudos de caso.",justificativa
LiyiCai2025,"AI-Driven Self-Evolving Software (Framework); papeis: agentes, personas, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, repositorio, pipeline, edicao de codigo, testes, browser; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, modelos, prompts [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Merchant2025,"Verifiable (Framework); papeis: agentes, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
RanjanSapkota2025,"Agentic coding (Framework); papeis: agentes, desenvolvedor, product manager, arquiteto, testador, usuario; execucao: IDE, repositorio, pipeline, edicao de codigo, testes, browser; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, PRDs, tarefas, codigo, testes, logs [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
