citation_key,year,venue_type,QA1_peer_reviewed,QA2_empirical,QA3_case_study,QA4_public_repo,QA_score,QA_tier,confianca_extracao
Gupta2022,2022,revisado por pares,1,1,0,1,3,ALTA,alta
ChenQian2023,2023,preprint,0,0,0,1,1,BAIXA,alta
JulesWhite2023,2023,preprint,0,0,0,1,1,BAIXA,alta
SiruiHong2023,2023,preprint,0,1,0,1,2,MEDIA,alta
YuCheng2023,2023,revisado por pares,1,1,0,1,3,ALTA,alta
AhmedEHassan2024,2024,revisado por pares,1,0,0,1,2,MEDIA,alta
DanielRusso2024,2024,revisado por pares,1,1,0,1,3,ALTA,alta
JSauvola2024,2024,revisado por pares,1,0,0,1,2,MEDIA,alta
KRRaghi2024,2024,registro tecnico,0,1,0,0,1,BAIXA,alta
KumarAle2024,2024,revisado por pares,1,1,0,0,2,MEDIA,alta
MicheleTufano2024,2024,preprint,0,1,0,1,2,MEDIA,alta
MitulModi2024,2024,revisado por pares,1,1,0,0,2,MEDIA,alta
Ulfsnes2024,2024,revisado por pares,1,1,1,1,4,ALTA,alta
YuntongZhang2024,2024,registro tecnico,0,1,0,1,2,MEDIA,alta
ZeeshanRasheed2024,2024,revisado por pares,1,1,1,1,4,ALTA,alta
Akbar2025,2025,revisado por pares,1,1,0,1,3,ALTA,alta
Baron2025,2025,revisado por pares,1,1,1,0,3,ALTA,alta
Dam2025,2025,revisado por pares,1,0,0,0,1,BAIXA,media
Gadamsetty2025,2025,revisado por pares,1,0,0,0,1,BAIXA,alta
JundaHe2025,2025,revisado por pares,1,0,0,0,1,BAIXA,media
LiyiCai2025,2025,preprint,0,0,0,1,1,BAIXA,alta
Merchant2025,2025,revisado por pares,1,1,0,0,2,MEDIA,alta
RanjanSapkota2025,2025,preprint,0,1,0,0,1,BAIXA,alta
SaiZhang2025,2025,revisado por pares,1,0,0,1,2,MEDIA,alta
SeyedmoeinMohsenimofidi2025,2025,preprint,0,1,0,1,2,MEDIA,alta
XiangzheXu2025,2025,preprint,0,1,0,1,2,MEDIA,alta
Alsegier2026,2026,revisado por pares,1,1,0,0,2,MEDIA,alta
Anon2026,2026,revisado por pares,1,1,0,1,3,ALTA,alta
BESLEAGA2026,2026,revisado por pares,1,1,0,0,2,MEDIA,alta
Chechik2026,2026,revisado por pares,1,1,0,0,2,MEDIA,alta
DeepakBabuPiskala2026,2026,preprint,0,0,0,1,1,BAIXA,alta
Khan2026,2026,revisado por pares,1,0,1,1,3,ALTA,alta
Macedo2026,2026,preprint,0,1,1,0,2,MEDIA,alta
Paduraru2026,2026,revisado por pares,1,1,0,0,2,MEDIA,alta
Paiva2026,2026,revisado por pares,1,1,0,0,2,MEDIA,alta
SKaruppuchamy2026,2026,revisado por pares,1,1,0,1,3,ALTA,alta
Watfa2026,2026,revisado por pares,1,1,0,1,3,ALTA,alta
