citation_key,year,title,doi,nome,natureza,origem,artefatos,papeis,execucao,validacao,portabilidade,evidencia,riscos,rqs,confianca
Gupta2022,2022,AI-Augmented Usability Evaluation Framework for Software Requirements Specification,10.36227/techrxiv.20097701,AI-Augmented Usability Evaluation Framework for Software Requirements Specification,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","agentes, personas, desenvolvedor, arquiteto, testador, usuario","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","artefato publico, dependencia de IDE ou ambiente","paper em Institute of Electrical and Electronics Engineers (IEEE), avaliacao empirica, repositorio publico","seguranca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
ChenQian2023,2023,ChatDev: Communicative Agents for Software Development,10.48550/arxiv.2307.07924,ChatDev,Framework,Academia com artefato publico,"tarefas, codigo, testes, logs, modelos, prompts","agentes, desenvolvedor, arquiteto, testador, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, artefato publico, dependencia de IDE ou ambiente","preprint arXiv, repositorio publico","seguranca, governanca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
JulesWhite2023,2023,"ChatGPT Prompt Patterns for Improving Code Quality, Refactoring, Requirements Elicitation, and Software Design",10.48550/arxiv.2303.07839,ChatGPT,Arquitetura,Academia com artefato publico,"tarefas, codigo, testes, logs, modelos, prompts","personas, desenvolvedor, product manager, arquiteto, usuario, revisor","IDE, CLI, repositorio, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","preprint arXiv, repositorio publico","seguranca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
SiruiHong2023,2023,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,10.48550/arxiv.2308.00352,MetaGPT,Framework,Academia com artefato publico,"specs, PRDs, tarefas, codigo, testes, logs","agentes, desenvolvedor, product manager, arquiteto, testador, usuario","IDE, repositorio, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","preprint arXiv, avaliacao empirica, repositorio publico","confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
YuCheng2023,2023,Prompt Sapper: A LLM-Empowered Production Tool for Building AI Chains,10.1145/3638247,Prompt Sapper,Plataforma ou IDE,Academia,"specs, tarefas, codigo, testes, logs, modelos","desenvolvedor, product manager, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em ACM Transactions on Software Engineering and Methodology, avaliacao empirica, repositorio publico","drift, confiabilidade, contexto","RQ1, RQ2, RQ3, RQ4",alta
AhmedEHassan2024,2024,Towards AI-Native Software Engineering (SE 3.0): A Vision and a Challenge Roadmap,10.1145/3807901,AI-Native Software Engineering,Framework,Academia,"tarefas, codigo, testes, logs, modelos, prompts","agentes, personas, desenvolvedor, arquiteto, usuario","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia de IDE ou ambiente","paper em ACM Transactions on Software Engineering and Methodology, survey, repositorio publico","confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
DanielRusso2024,2024,Navigating the Complexity of Generative AI Adoption in Software Engineering,10.1145/3652154,Navigating,Framework,Academia,"tarefas, codigo, testes, logs, modelos, documentacao","personas, desenvolvedor, arquiteto, usuario, revisor","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em ACM Transactions on Software Engineering and Methodology, avaliacao empirica, repositorio publico","seguranca, governanca, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
JSauvola2024,2024,Future of software development with generative AI,10.1007/s10515-024-00426-z,Future of software development with generative AI,Metodo ou processo,Academia ou comunidade tecnica,"tarefas, codigo, testes, logs, modelos, documentacao","desenvolvedor, arquiteto, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em Automated Software Engineering, repositorio publico","seguranca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
KRRaghi2024,2024,Software Development Automation Using Generative AI,10.1109/icercs63125.2024.10894980,Software Development Automation Using Generative AI,Framework,Academia ou comunidade tecnica,"tarefas, codigo, testes, logs, modelos, documentacao","personas, desenvolvedor, product manager, arquiteto, testador, usuario","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper ou registro tecnico, avaliacao empirica","seguranca, governanca, rastreabilidade, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
KumarAle2024,2024,"A Generative AI Framework for Enhancing Software Test Automation: Design, Implementation, and Validation",10.21275/sr24604032016,Framework,Framework,Academia,"tarefas, codigo, testes, logs, modelos","desenvolvedor, testador, usuario, revisor","IDE, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, avaliacao empirica, traces ou auditoria","dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em International Journal of Science and Research (IJSR), avaliacao empirica","confiabilidade, overhead","RQ1, RQ2, RQ3, RQ4",alta
MicheleTufano2024,2024,AutoDev: Automated AI-Driven Development,10.48550/arXiv.2403.08299,AutoDev,Framework,Academia com artefato publico,"tarefas, codigo, testes, logs, modelos, prompts","agentes, personas, desenvolvedor, arquiteto, usuario, revisor","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","preprint arXiv, avaliacao empirica, repositorio publico","seguranca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
