citation_key,title,year,decision,criterion,reason,reviewer,timestamp
Akbar2025,Agentic AI in Software Engineering: Practitioner Perspectives Across the Software Development Life Cycle,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Alsegier2026,From Feature Variability to Agency Variability: A Software Product-Line Engineering Framework for Governed Agentic AI Systems,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
BESLEAGA2026,GABBE: A Neurocognitive Swarm Architecture for Agentic AI Software Engineering,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Watfa2026,Risk-Aware Requirements Engineering for Generative AI-Enabled Software Systems: A Framework and Empirical Validation,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Merchant2025,Verifiable Collaboration among Agentic Code Assistants using Blockchain for Software Engineering Workflows,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Paduraru2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Gupta2022,AI-Augmented Usability Evaluation Framework for Software Requirements Specification,2022,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Ulfsnes2024,Transforming Software Development with Generative AI: Empirical Insights on Collaboration and Workflow,2024,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Anon2026,DevFlow: An Agentic AI Architecture Planning Platform for Software Engineering Workflows,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Chechik2026,Agentic AI in the next frontier of model-based software engineering: the arrival of AI-hyper-agile software engineering methods,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Paiva2026,Agentic RTE: A Framework for Synchronizing Multimodal Software Artifacts,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Dam2025,Towards Multi-Agentic AI for automated software design and modelling: challenges and opportunities,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Khan2026,AI-Powered Toolchain Framework for Agile Software Development in Startups,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
KumarAle2024,"A Generative AI Framework for Enhancing Software Test Automation: Design, Implementation, and Validation",2024,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Baron2025,Towards an Adoption Framework to Foster Trust in AI-Assisted Software Engineering,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Gadamsetty2025,Generative AI for Software Engineering: Generative AI Effectiveness and Efficiency in Software Development Documentation,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
DeepakBabuPiskala2026,Spec-Driven Development:From Code to Contract in the Age of AI Coding Assistants,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
RanjanSapkota2025,Vibe Coding vs. Agentic Coding: Fundamentals and Practical Implications of Agentic AI,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
AhmedEHassan2024,Towards AI-Native Software Engineering (SE 3.0): A Vision and a Challenge Roadmap,2024,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
NitishRatanAppanasamy2025,"The Evolution of Software Engineering in the Age of AI Collaboration: Opportunities, Challenges, and Future Implications",2025,exclude,missing I1,"Texto completo discute oportunidades e impactos gerais da colaboracao com IA, mas nao descreve um framework operacional de desenvolvimento com IA.",screening-logger,2026-05-27T17:59:00Z
MicheleTufano2024,AutoDev: Automated AI-Driven Development,2024,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
SeyedmoeinMohsenimofidi2025,Context Engineering for AI Agents in Open-Source Software,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
SKaruppuchamy2026,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
AkhilaHarinarayana2026,Agentic AI Revolutionizing Software Engineering,2026,exclude,E7,"Texto completo tem apenas uma pagina de resumo de conferencia, sem detalhes tecnicos suficientes para extrair arquitetura, artefatos, papeis, validacao e riscos.",screening-logger,2026-05-27T17:59:00Z
XiangzheXu2025,ASTRA: Autonomous Spatial-Temporal Red-teaming for AI Software Assistants,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
AshifAnwar2025,Software Engineering Practices: In the era of AI / LLMs,2025,exclude,missing I1,"Texto completo sintetiza praticas gerais e tendencias de IA no SDLC, mas nao descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit especifico.",screening-logger,2026-05-27T17:59:00Z
LiyiCai2025,AI-Driven Self-Evolving Software: A Promising Path Toward Software Automation,2025,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
Macedo2026,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,2026,include,I1,"Texto completo confirma fonte dentro do escopo: descreve framework, metodo, plataforma, arquitetura, workflow, artefatos, validacao ou evidencia diretamente relacionada ao desenvolvimento de software com IA.",screening-logger,2026-05-27T17:59:00Z
JulesWhite2023,"ChatGPT Prompt Patterns for Improving Code Quality, Refactoring, Requirements Elicitation, and Software Design",2023,include,I1,"Texto completo apresenta metodo reutilizavel de prompt patterns para varias atividades de engenharia de software, incluindo requisitos, design, prototipacao, qualidade de codigo, deployment e testes.",screening-logger,2026-05-28T12:19:18Z
ChristophTreude2025,How Developers Interact with AI: A Taxonomy of Human-AI Collaboration in Software Engineering,2025,exclude,missing I2/I3/I4,"Texto completo fornece taxonomia de interacoes desenvolvedor-IA, mas nao descreve artefatos persistentes, papeis, workflow executavel ou validacao operacional suficientes para extracao como framework de desenvolvimento.",screening-logger,2026-05-28T12:19:18Z
JundaHe2025,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",2025,include,I1,"Texto completo revisa sistemas multiagente baseados em LLM para engenharia de software, organiza aplicacoes por etapas do SDLC, discute frameworks LMA e inclui estudos de caso.",screening-logger,2026-05-28T12:19:18Z
JSauvola2024,Future of software development with generative AI,2024,include,I1,"Texto completo propoe quatro cenarios para operacoes de desenvolvimento com IA generativa, modelando papeis, ferramentas, processos, transicoes e riscos operacionais.",screening-logger,2026-05-28T12:19:18Z
AyyappaSajja2024,Integrating Generative AI into the Software Development Lifecycle: Impacts on Code Quality and Maintenance,2024,exclude,missing I1,"Texto completo discute impactos gerais da IA generativa em codigo, documentacao, manutencao e produtividade, mas nao apresenta framework, metodo, toolkit, plataforma, IDE, CLI ou kit operacional.",screening-logger,2026-05-28T12:19:18Z
MitulModi2024,Transforming Software Development Through Generative AI : A Systematic Analysis of Automated Development Practices,2024,include,I1,"Texto completo apresenta analise sistematica e framework de adocao de GenAI em workflows de desenvolvimento, cobrindo geracao de codigo, testes, code review e analise preditiva.",screening-logger,2026-05-28T12:19:18Z
