citation_key,title,year,decision,criterion,reason,reviewer,timestamp
Nagasubramanian2026,Agentic Workflows and AI Agents,2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Akbar2025,Agentic AI in Software Engineering: Practitioner Perspectives Across the Software Development Life Cycle,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Alsegier2026,From Feature Variability to Agency Variability: A Software Product-Line Engineering Framework for Governed Agentic AI Systems,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
BESLEAGA2026,GABBE: A Neurocognitive Swarm Architecture for Agentic AI Software Engineering,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Haque2026,"The New Software Cost Curve under Agentic AI: Development Economics, Pricing, and Labor Impacts",2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Watfa2026,Risk-Aware Requirements Engineering for Generative AI-Enabled Software Systems: A Framework and Empirical Validation,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Merchant2025,Verifiable Collaboration among Agentic Code Assistants using Blockchain for Software Engineering Workflows,2025,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Paduraru2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Khaja2026,"Securing Agentic AI in Software-Defined Networks: A Policy-Driven Framework for Governance, Monitoring, and Incident Response",2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Gupta2022,AI-Augmented Usability Evaluation Framework for Software Requirements Specification,2022,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Hammel2023,Assuring Domain Software Quality through Workflow Testing and Specification,2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Parsons2025,AI Literacy Development for Software Engineering Education: Mapping AI from the SWEBOK to the SAIL Framework,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
AsifAli2025,Efficient Underwriting Using Agentic AI,2025,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Ulfsnes2024,Transforming Software Development with Generative AI: Empirical Insights on Collaboration and Workflow,2024,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Chauhan2025,9 Integrating Generative AI into Your Development Workflow,2025,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
